# Caffeine.txt
#
# A study of the effect of caffeine on muscle metabolism used 36 male volunteers who
#   each underwent arm exercise tests.  Eighteen of the men were randomly selected to
#   take a capsule containing pure caffeine one hour before the test.  The other men
#   received a placebo capsule.  During each exercise the subject's respiratory exchange
#   ratio (RER) was measured. [RER is the ratio of CO2 produced to O2 consumed and is an
#   indicator of whether energy is being obtained from carbohydrates or fats).
#
# RER: respiratory exchange ratio
# treatment: treatment group (caffeine or placebo)
#
RER	treatment
96	caffeine
99	caffeine
94	caffeine
89	caffeine
96	caffeine
93	caffeine
88	caffeine
105	caffeine
88	caffeine
84	caffeine
94	caffeine
94	caffeine
94	caffeine
97	caffeine
99	caffeine
98	caffeine
95	caffeine
93	caffeine
106	placebo
108	placebo
102	placebo
98	placebo
97	placebo
103	placebo
91	placebo
96	placebo
109	placebo
98	placebo
107	placebo
103	placebo
96	placebo
89	placebo
99	placebo
103	placebo
93	placebo
103	placebo
