# InstructMethod.txt
#
# Score for stutdents in one of two learning types (lecture and self-study) with one of two instructors (A or B).
# I don't remember the source -- scores probably randomly generated from summary results.
#
Meth	Inst	Score
Lect	A	104.015
Lect	A	75.151
Lect	A	72.451
Lect	A	91.766
Lect	A	56.774
Lect	A	77.656
Lect	A	89.320
Lect	A	88.885
Lect	A	52.229
Lect	A	75.131
Lect	A	61.039
Lect	A	48.322
Lect	A	63.350
Lect	A	67.440
Lect	A	62.567
Lect	A	73.273
Lect	A	82.515
Lect	A	53.041
Lect	A	77.385
Lect	A	83.941
Lect	A	74.606
Lect	A	95.507
Lect	A	79.942
Lect	A	95.995
Lect	A	83.831
Lect	B	88.190
Lect	B	62.677
Lect	B	79.272
Lect	B	91.270
Lect	B	72.926
Lect	B	68.120
Lect	B	80.698
Lect	B	65.806
Lect	B	65.121
Lect	B	70.465
Lect	B	53.793
Lect	B	74.481
Lect	B	77.916
Lect	B	83.982
Lect	B	107.797
Lect	B	61.803
Lect	B	51.860
Lect	B	81.828
Lect	B	52.780
Lect	B	77.766
Lect	B	92.733
Lect	B	72.062
Lect	B	67.437
Lect	B	77.484
Lect	B	83.312
Self	A	113.065
Self	A	78.774
Self	A	79.492
Self	A	88.979
Self	A	90.301
Self	A	79.973
Self	A	97.226
Self	A	83.976
Self	A	63.647
Self	A	64.009
Self	A	110.744
Self	A	70.207
Self	A	84.619
Self	A	92.284
Self	A	107.372
Self	A	94.203
Self	A	70.788
Self	A	68.305
Self	A	91.288
Self	A	79.920
Self	A	79.433
Self	A	67.186
Self	A	78.797
Self	A	85.888
Self	A	79.137
Self	B	60.241
Self	B	72.411
Self	B	59.325
Self	B	68.496
Self	B	83.468
Self	B	68.249
Self	B	96.337
Self	B	91.052
Self	B	102.758
Self	B	90.163
Self	B	77.877
Self	B	100.060
Self	B	100.699
Self	B	78.857
Self	B	59.104
Self	B	88.852
Self	B	67.287
Self	B	103.089
Self	B	79.146
Self	B	67.619
Self	B	91.038
Self	B	64.507
Self	B	75.277
Self	B	89.753
Self	B	81.807
