# ConcreteCure.txt
#
# Concrete road pavement gains strength over time as it cures.  Highway builders use a
#   regression to predict the strength (pounds per square inch; psi) of the  concrete
#   after 28 days (when curing is complete; STR28) from measurements made after 7 days (STR7).
#
str7	str28
3884	5128
3027	4312
3868	5092
3750	4901
3378	4594
3142	4420
3681	5147
3775	4903
3187	4624
3992	5223
3703	4978
3414	4590
3859	5059
3228	4372
3523	4846
3627	4978
3468	4683
3295	4795
3710	4833
3218	4532
3554	4979
3348	4602
3589	4786
3919	5065
3574	4742
3171	4469
3098	4397
3137	4307
3781	4923
3508	4653
3967	5223
3461	4737
3670	4947
3766	5237
3434	4859
3709	4995
3659	4861
3951	5146
3202	4619
3641	4914
3171	4475
3973	5205
3343	4636
3263	4469
3169	4590
3074	4355
3054	4272
3523	4710
3483	4677
3993	5112
