# AnimalRights.txt
#
# year: Year of GSS survey (1993,1994)
# response: Respondent's response to question "Animals have rights too."
#
year response
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1993 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1994 StrAgree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
1993 Agree
