# cavetemp.txt
#
# data simulated (with mult.rnorm) from results in table 1 of Raesly, R. and E. Gates.
#   1987.  Winter habitat selection by north temperate cave bats.  American Midland
#   Naturalist, 118:15-31.
#
# The ambient temperature was measured on limestone caves in Maryland, Pennsylvania,
#   and West Virginia inhabited by five difference species of bats.  Temperatures were
#   measured between 15Nov and 31Mar.
#
# amb.temp: Ambient temperature of cave (Celsius)
# species: Species of bat inhabiting the cave.
#
amb.temp	species
13.5	P.subflavus
13.2	P.subflavus
15.6	P.subflavus
17.7	P.subflavus
12	P.subflavus
5.3	P.subflavus
12.2	P.subflavus
9.9	P.subflavus
13.9	P.subflavus
0.4	P.subflavus
11.6	P.subflavus
13.7	P.subflavus
12.4	P.subflavus
11.2	P.subflavus
9.6	P.subflavus
13.7	P.subflavus
14.3	P.subflavus
9.1	P.subflavus
13.7	P.subflavus
6.1	P.subflavus
12.5	P.subflavus
11.6	P.subflavus
9.5	P.subflavus
5.1	P.subflavus
11.4	P.subflavus
6	P.subflavus
9.9	P.subflavus
4.3	P.subflavus
20.2	P.subflavus
10.1	P.subflavus
13.1	P.subflavus
10.9	P.subflavus
6.8	P.subflavus
7.6	P.subflavus
12.2	P.subflavus
20.7	P.subflavus
13.8	P.subflavus
11.7	P.subflavus
11.4	P.subflavus
12.2	P.subflavus
14.4	P.subflavus
6.2	P.subflavus
17	P.subflavus
9.8	P.subflavus
5.3	P.subflavus
10.3	P.subflavus
8	P.subflavus
-3.5	P.subflavus
6.7	P.subflavus
8.9	P.subflavus
8.8	P.subflavus
15.6	P.subflavus
9.2	P.subflavus
12.6	P.subflavus
11.8	P.subflavus
14.6	P.subflavus
12.3	P.subflavus
13.1	P.subflavus
12	P.subflavus
15.6	M.lucifugus
15.1	M.lucifugus
7.6	M.lucifugus
12.9	M.lucifugus
11.8	M.lucifugus
4.2	M.lucifugus
2	M.lucifugus
2.7	M.lucifugus
12.2	M.lucifugus
8.2	M.lucifugus
6.8	M.lucifugus
9.4	M.lucifugus
4.6	M.lucifugus
8.5	M.lucifugus
5.1	M.lucifugus
-0.7	M.lucifugus
12.1	M.lucifugus
11.7	M.lucifugus
11.8	M.lucifugus
14.2	M.lucifugus
6.1	M.lucifugus
14.2	M.lucifugus
5.2	M.lucifugus
11.6	M.lucifugus
9.9	M.lucifugus
10.8	M.lucifugus
-3.9	M.lucifugus
0.6	M.lucifugus
1	M.lucifugus
6.4	M.lucifugus
6.9	M.lucifugus
3.3	M.lucifugus
12.9	M.lucifugus
5.2	M.lucifugus
4.7	M.lucifugus
9.9	M.lucifugus
12.5	M.lucifugus
9.5	M.lucifugus
2.2	M.lucifugus
7.6	M.lucifugus
-0.4	M.lucifugus
11.2	M.lucifugus
8.4	M.lucifugus
12.2	M.lucifugus
9.5	M.lucifugus
4.7	M.lucifugus
6.7	M.lucifugus
10.1	M.lucifugus
9.7	M.lucifugus
4.4	M.lucifugus
-1.2	M.lucifugus
6.3	M.lucifugus
8.2	M.lucifugus
9.8	M.lucifugus
8.9	M.lucifugus
7.5	M.lucifugus
8.4	M.lucifugus
0.1	M.lucifugus
10	M.lucifugus
7.2	M.lucifugus
5.6	M.lucifugus
0.7	M.lucifugus
11.4	M.lucifugus
9.1	M.lucifugus
10.3	M.lucifugus
7.1	M.lucifugus
2.3	M.lucifugus
4.9	M.lucifugus
3.1	M.lucifugus
20.1	M.lucifugus
6.9	M.lucifugus
8.7	M.lucifugus
8.7	M.lucifugus
9	M.lucifugus
5.9	M.lucifugus
4.7	M.lucifugus
4.9	M.lucifugus
5.8	M.sodalis
7.8	M.sodalis
8.9	M.sodalis
7.9	M.sodalis
4.8	M.sodalis
6.2	M.sodalis
6.5	M.sodalis
10	M.sodalis
5.6	M.sodalis
3.3	M.sodalis
6.9	M.sodalis
4.1	M.sodalis
3.8	M.sodalis
8.9	M.sodalis
6.6	M.sodalis
4.9	M.sodalis
6.3	M.sodalis
8.2	M.sodalis
6.7	M.sodalis
4.9	M.sodalis
5.7	M.sodalis
3.5	M.sodalis
5.9	M.sodalis
3.1	M.sodalis
8.3	M.sodalis
8.8	M.sodalis
6.6	M.sodalis
7.9	M.sodalis
5.7	M.sodalis
6.1	M.sodalis
8.8	M.sodalis
7.5	M.sodalis
6.6	M.sodalis
9.7	M.sodalis
7.4	M.sodalis
5.5	M.sodalis
4.2	M.sodalis
6.9	M.sodalis
11.6	M.sodalis
9.5	M.sodalis
6.5	M.sodalis
7.7	M.sodalis
6.3	M.sodalis
5.4	M.sodalis
4.1	M.sodalis
6.4	M.sodalis
6.4	M.sodalis
9.3	M.sodalis
8.2	M.sodalis
8.4	M.sodalis
6.4	M.sodalis
9	M.sodalis
3.2	M.sodalis
10.6	M.sodalis
9.7	M.sodalis
9.3	M.sodalis
6.9	M.sodalis
4.7	M.sodalis
9.8	M.sodalis
9.1	M.sodalis
6.9	M.sodalis
8.3	M.sodalis
9.6	M.sodalis
8.5	M.sodalis
3.4	M.keenii
3.7	M.keenii
9	M.keenii
0.8	M.keenii
5.9	M.keenii
7.1	M.keenii
9.2	M.keenii
6.7	M.keenii
8.8	M.keenii
10.1	M.keenii
10	M.keenii
6.3	M.keenii
5.3	M.keenii
5.1	M.keenii
9.3	M.keenii
9.9	M.keenii
7.5	M.keenii
10.1	M.keenii
8.2	M.keenii
13.1	M.keenii
6.5	M.keenii
4.8	M.keenii
4	M.keenii
6.7	M.keenii
3.1	M.keenii
10	M.keenii
4.7	M.keenii
6.1	M.keenii
6.8	M.keenii
11.2	M.keenii
8.4	M.keenii
7.7	M.keenii
6.3	M.keenii
4.9	M.keenii
2.8	M.keenii
4.7	M.keenii
2.6	E.fuscus
12	E.fuscus
1.2	E.fuscus
11.5	E.fuscus
1.3	E.fuscus
2.3	E.fuscus
-1.4	E.fuscus
1.5	E.fuscus
6	E.fuscus
3.9	E.fuscus
8	E.fuscus
12.1	E.fuscus
2.7	E.fuscus
13.6	E.fuscus
6.1	E.fuscus
11.4	E.fuscus
8.5	E.fuscus
2.5	E.fuscus
13.3	E.fuscus
13.4	E.fuscus
8.2	E.fuscus
5.3	E.fuscus
6	E.fuscus
9.2	E.fuscus
12.6	E.fuscus
10	E.fuscus
12.7	E.fuscus
11.6	E.fuscus
4.3	E.fuscus
0.7	E.fuscus
