growth,year,chick
7.1,1994,first
5.3,1994,first
8.6,1994,first
7.2,1994,first
9,1994,first
8.3,1994,first
9.4,1994,first
7.2,1994,first
9.9,1994,first
8,1994,first
8.1,1994,first
8.3,1994,first
9.4,1994,first
6.2,1994,first
9.1,1994,first
9.1,1994,first
7.7,1994,first
8.9,1994,first
8.1,1994,first
6.9,1994,first
6.1,1995,first
7.6,1995,first
6.9,1995,first
7,1995,first
8.3,1995,first
5.2,1995,first
6.5,1995,first
6.1,1995,first
8.2,1995,first
6.5,1995,first
5.9,1995,first
5.3,1995,first
6,1995,first
7.1,1995,first
5.9,1995,first
8,1995,first
6.7,1995,first
6.7,1995,first
5.8,1995,first
5.1,1995,first
8.6,1995,first
5.5,1995,first
6.8,1995,first
6.7,1995,first
5.1,1995,first
6,1995,first
5.9,1995,first
6.4,1996,first
7.7,1996,first
7.5,1996,first
10.3,1996,first
11.2,1996,first
5.9,1996,first
6.1,1996,first
8,1996,first
6.9,1996,first
9,1996,first
7.8,1996,first
7,1996,first
7.5,1996,first
9.3,1996,first
6.7,1996,first
8.6,1996,first
7.5,1996,first
7.5,1996,first
8.3,1996,first
5,1996,first
5.5,1996,first
9.1,1996,first
8.1,1996,first
6.3,1996,first
7.6,1996,first
7.8,1996,first
8,1996,first
5.9,1996,first
4.1,1994,second
9.8,1994,second
7,1994,second
4.5,1994,second
6.2,1994,second
8.6,1994,second
7.3,1995,second
7.5,1995,second
7.6,1995,second
1.3,1995,second
3.3,1995,second
8.5,1995,second
5.4,1995,second
4.7,1995,second
1.8,1995,second
6.7,1995,second
4.2,1995,second
7.9,1995,second
7.5,1995,second
5.1,1995,second
3,1995,second
8.4,1996,second
8.6,1996,second
7.3,1996,second
10.7,1996,second
4.6,1996,second
7.1,1996,second
8.7,1996,second
9.4,1996,second
8.9,1996,second
6.8,1996,second
9,1996,second
7.3,1996,second
6,1996,second
