year,wolves,moose
1959,20,563
1960,22,610
1961,22,628
1962,23,639
1963,20,663
1964,26,707
1965,28,733
1966,26,765
1967,22,912
1968,22,1042
1969,17,1268
1970,18,1295
1971,20,1439
1972,23,1493
1973,24,1435
1974,31,1467
1975,41,1355
1976,44,1282
1977,34,1143
1978,40,1001
1979,43,1028
1980,50,910
1981,30,863
1982,14,872
1983,23,932
1984,24,1038
1985,22,1115
1986,20,1192
1987,16,1268
1988,12,1335
1989,12,1397
1990,15,1216
1991,12,1313
1992,12,1590
1993,13,1879
1994,17,1770
1995,16,2422
1996,22,1163
1997,24,500
1998,14,699
1999,25,750
2000,29,850
2001,19,900
2002,17,1100
2003,19,900
2004,29,750
2005,30,540
2006,30,450
