site,pop,sex,age,totlen,chest,belly,taillen,footlen,miss,out
1,Vic,m,8,89,28,36,36,74.5,FALSE,FALSE
1,Vic,f,6,91.5,28.5,33,36.5,72.5,FALSE,FALSE
1,Vic,f,6,95.5,30,34,39,75.4,FALSE,FALSE
1,Vic,f,6,92,28,34,38,76.1,FALSE,FALSE
1,Vic,f,2,85.5,28.5,33,36,71,FALSE,FALSE
1,Vic,f,1,90.5,30,32,35.5,73.2,FALSE,FALSE
1,Vic,m,2,89.5,30,34.5,36,71.5,FALSE,FALSE
1,Vic,f,6,91,29,34,37,72.7,FALSE,FALSE
1,Vic,f,9,91.5,28,33,37,72.4,FALSE,FALSE
1,Vic,f,6,89.5,27.5,32,37.5,70.9,FALSE,FALSE
1,Vic,f,9,89.5,31,34,39,77.2,FALSE,FALSE
1,Vic,f,5,92,28,33,35.5,71.7,FALSE,FALSE
1,Vic,m,5,89.5,27,32,36,71,FALSE,FALSE
1,Vic,m,3,91.5,28,31.5,36,74.3,FALSE,FALSE
1,Vic,m,5,85.5,28,35,34,69.7,FALSE,FALSE
1,Vic,m,4,86,28,32,34.5,73,FALSE,FALSE
1,Vic,f,1,89.5,29,31,36.5,73.2,FALSE,TRUE
1,Vic,m,2,90,28,32,36,73.7,FALSE,FALSE
1,Vic,f,5,90.5,28,32,35,73.4,FALSE,FALSE
1,Vic,f,4,89,27,36,38,73.8,FALSE,FALSE
1,Vic,f,3,96.5,30,40,39.5,77.9,FALSE,FALSE
1,Vic,m,3,91,28,36,39.5,73.5,FALSE,FALSE
1,Vic,f,4,89,28,35,36,72.8,FALSE,FALSE
1,Vic,m,2,84,27,32,34,75,FALSE,FALSE
1,Vic,m,3,91.5,31,35,35.5,72.3,FALSE,FALSE
1,Vic,m,7,90,29,38,36,73.6,FALSE,FALSE
1,Vic,f,2,85,23,28,35,70.3,FALSE,FALSE
1,Vic,m,4,87,27,30,34.5,73.2,FALSE,FALSE
1,Vic,f,3,88,24,32,35,74.9,FALSE,FALSE
1,Vic,f,2,84,24.5,33,33.5,70.6,FALSE,FALSE
1,Vic,m,3,93,27,31,37,68,FALSE,FALSE
1,Vic,f,4,94,28,34,39,74.8,FALSE,FALSE
1,Vic,m,3,89,24,30,37,70.8,FALSE,FALSE
2,Vic,m,2,85.5,26,28.5,36.5,73.1,FALSE,FALSE
2,Vic,m,4,85,28,35.5,35.5,71.2,FALSE,FALSE
2,Vic,m,7,88,25.5,36,35,74.3,FALSE,FALSE
2,Vic,f,2,82.5,28,31.5,35,71.2,FALSE,FALSE
2,Vic,m,7,80.5,27,30,35.5,68.4,FALSE,FALSE
2,Vic,f,1,75,25,25,34,68.7,FALSE,FALSE
2,Vic,f,3,84.5,27,30,36,72.8,FALSE,FALSE
2,Vic,f,5,83,27,30.5,36.5,NA,TRUE,FALSE
2,Vic,m,3,77,25.5,33,32,62.7,FALSE,FALSE
2,Vic,f,2,81,29,31,32,72,FALSE,FALSE
2,Vic,m,NA,76,23,27,35.5,70.3,TRUE,FALSE
2,Vic,m,3,81,27,31.5,34,71.5,FALSE,FALSE
2,Vic,m,NA,84,24.5,35,35,72.8,TRUE,FALSE
3,other,m,2,89,25,33,37.5,66,FALSE,FALSE
3,other,m,5,85,28,35,34,66.9,FALSE,FALSE
3,other,m,4,85,29.5,35.5,37,69,FALSE,FALSE
3,other,f,5,88,28,36,38,65,FALSE,FALSE
3,other,f,5,85,28,38.5,36,64,FALSE,FALSE
3,other,m,6,93.5,28.5,32.5,40,67.9,FALSE,FALSE
3,other,f,3,91,26,33.5,38,67.4,FALSE,FALSE
4,other,m,7,91.5,30,36.5,43,71.3,FALSE,FALSE
4,other,m,2,92.5,30.5,36,38,72.5,FALSE,FALSE
4,other,m,3,93.7,27.5,31.5,38,68.7,FALSE,FALSE
4,other,f,4,93,31,39,41,67.2,FALSE,FALSE
4,other,m,3,91,30.5,33,39,66.5,FALSE,TRUE
4,other,m,2,96,32,36,40,73.2,FALSE,FALSE
4,other,f,2,88,26,30,39,63.1,FALSE,FALSE
5,other,m,7,86,26.5,31,38,63.1,FALSE,FALSE
5,other,f,3,90.5,27,32,39,65.5,FALSE,FALSE
5,other,f,6,88.5,25.5,28.5,38,64.1,FALSE,FALSE
5,other,f,3,89.5,25.5,33,38.5,63,FALSE,FALSE
5,other,f,5,88.5,29,38.5,38,68.2,FALSE,FALSE
5,other,f,3,86,26.5,34,36.5,63.2,FALSE,FALSE
5,other,m,4,85,27.5,29.5,36.5,64.7,FALSE,FALSE
5,other,m,5,88.5,27,30,38,65.9,FALSE,FALSE
5,other,m,5,88,28.5,34,37.5,65,FALSE,FALSE
5,other,f,7,87,27,34,38,65.4,FALSE,FALSE
5,other,m,6,90,27.5,34,40,65.7,FALSE,FALSE
5,other,m,1,80.5,25.5,30,35,62,FALSE,FALSE
5,other,m,1,82,23.5,28,36.5,65.7,FALSE,FALSE
6,other,f,4,83,26,34,38,61.5,FALSE,FALSE
6,other,m,6,89,26,33.5,38,66.2,FALSE,FALSE
6,other,m,5,89,26,33,41,64.5,FALSE,FALSE
6,other,m,6,84,25,35,36,62.8,FALSE,FALSE
6,other,m,1,81,23,28,36.5,63,FALSE,FALSE
6,other,m,1,81,22,28.5,36.5,62.8,FALSE,FALSE
6,other,m,1,84,23.5,30.5,38,62.3,FALSE,FALSE
6,other,m,3,85.5,27.5,35,38,65.6,FALSE,FALSE
6,other,f,4,82,26,32,36.5,60.7,FALSE,FALSE
6,other,f,3,81.5,25,29,36,62,FALSE,FALSE
6,other,m,3,80.5,25,28.5,36,62.6,FALSE,FALSE
6,other,m,3,92,27,31.5,40.5,65.6,FALSE,FALSE
6,other,f,3,86.5,26,31,38.5,60.3,FALSE,FALSE
7,other,m,2,93,26,36,41.5,71.7,FALSE,FALSE
7,other,f,2,87.5,25.5,31.5,38,66.7,FALSE,FALSE
7,other,m,6,84.5,29,30.5,35,64.4,FALSE,FALSE
7,other,m,3,85,25.5,32.5,38.5,69.8,FALSE,FALSE
7,other,m,3,89,26,32,38,65.5,FALSE,FALSE
7,other,m,2,85,25.5,31,37,67.6,FALSE,FALSE
7,other,m,3,82,24,31,38,63.8,FALSE,FALSE
7,other,m,7,84,29,35,35.5,64.2,FALSE,FALSE
7,other,m,4,88.5,27,31,37.5,64.5,FALSE,FALSE
7,other,m,4,83,25,33,38,66.5,FALSE,FALSE
7,other,m,3,86,25,31.5,38,63.8,FALSE,FALSE
7,other,m,5,84,28.5,32,35,65.6,FALSE,TRUE
7,other,f,3,86.5,28,35,38.5,64.8,FALSE,FALSE
7,other,m,1,81.5,23,27,36.5,66,FALSE,FALSE
7,other,m,1,82.5,25,33,39,64.4,FALSE,FALSE
7,other,f,6,89,25,30,38,63.5,FALSE,FALSE
7,other,m,4,82.5,25,29,36.5,62.9,FALSE,FALSE
7,other,f,3,89,28.5,33.5,40,67.6,FALSE,FALSE
