group,explore
Dominant,1.76624814589473
Dominant,3.21715313224136
Dominant,3.79542747415378
Dominant,1.90158752445717
Dominant,1.67805275412863
Dominant,2.1335609438883
Dominant,1.79623884966983
Dominant,4.05632573822426
Dominant,1.29601675262181
Dominant,4.57587378673029
Dominant,3.76965561396011
Dominant,2.8425776197773
Dominant,3.783061509634
Dominant,1.44151314175037
Dominant,2.43070670200365
Dominant,0.482393330145845
Dominant,1.777695388415
Dominant,2.91491119727781
Dominant,2.02574225912066
Dominant,3.48567106411389
Dominant,4.03690070692851
Dominant,3.91255342126799
Dominant,2.04579279467228
Dominant,2.30633334715801
Dominant,1.7522844869229
Dominant,2.32820630169588
Dominant,2.41187340140537
Dominant,2.1035791944658
Dominant,3.19546646362846
Dominant,3.16439558687214
Dominant,3.39908648899197
Dominant,0.619632765935497
Dominant,2.48722781058181
Dominant,2.12992535657389
Dominant,2.37103690229165
Dominant,0.516145202136509
Dominant,0.222944818025468
Dominant,1.6406467290744
Dominant,2.77694552613822
Dominant,1.24194900615182
Dominant,2.33776687733823
Subordinate,2.13661960866716
Subordinate,3.64403402317103
Subordinate,-0.0593039560290165
Subordinate,3.10762967308
Subordinate,0.752277898930377
Subordinate,1.59798651753042
Subordinate,0.753316043336383
Subordinate,1.96236568488295
Subordinate,0.459224817076441
Subordinate,-0.114139883774499
Subordinate,0.231472973522105
Subordinate,2.48618582728712
Subordinate,0.959515467640889
Subordinate,1.70473187643131
Subordinate,1.1396348019479
Subordinate,1.98869475679901
Subordinate,0.618230012371508
Subordinate,0.0437160378062935
Subordinate,-0.181827187173359
Subordinate,1.5659670396922
Subordinate,2.1072254246214
Subordinate,2.30184845896738
Subordinate,1.86127026561525
Subordinate,0.640101964911871
Subordinate,0.434902305264686
Subordinate,2.12438473419757
Subordinate,-0.294307359766667
Subordinate,1.15265493121638
Subordinate,1.1710553565138
Subordinate,1.47270876501984
Subordinate,1.04805608738076
Subordinate,1.60551497377329
Subordinate,2.74037920111622
Subordinate,1.66533626039414
Subordinate,0.857040735756787
Subordinate,2.00759171584311
Subordinate,0.993917218994617
Subordinate,0.708993674957451
Subordinate,1.46930274632509
