score,group
15,control
15,control
17,control
14,control
13,control
16,control
19,control
12,control
19,control
17,control
14,control
17,control
17,control
19,control
15,control
13,control
13,control
11,control
11,control
13,control
13,control
20,control
24,control
15,control
20,control
16,extra
17,extra
21,extra
16,extra
17,extra
13,extra
11,extra
20,extra
17,extra
23,extra
7,extra
17,extra
15,extra
17,extra
14,extra
21,extra
19,extra
20,extra
19,extra
9,extra
14,extra
26,extra
14,extra
18,extra
20,extra
