ID,age,seen
19730768,18,YES
19730953,18,YES
19731043,18,NO
19731255,18,YES
19731280,18,NO
19731429,18,YES
19750181,18,NO
19750201,18,NO
19750490,18,NO
19750608,18,YES
19751117,18,NO
19751153,18,YES
19751194,18,NO
19751255,18,NO
19751421,18,NO
19751520,18,NO
19760029,18,NO
19760200,18,YES
19760354,18,NO
19760400,18,YES
19760486,18,YES
19761086,18,NO
19761110,18,NO
19761134,18,NO
19780068,18,NO
19780122,18,NO
19780553,18,NO
19780743,18,NO
19780974,18,NO
19781193,18,NO
19781398,18,NO
19800026,18,NO
19800203,18,NO
19830350,18,NO
19830413,18,NO
19830630,18,NO
19830700,18,NO
19831075,18,NO
19831138,18,NO
19831141,18,NO
19831520,18,NO
19831580,18,NO
19831588,18,NO
19841039,18,NO
19861240,18,YES
19870376,18,NO
19870510,18,NO
19871284,18,YES
19872023,18,YES
19872139,18,YES
19880269,18,YES
19880996,18,NO
19890022,18,YES
19890124,18,YES
19890409,18,NO
19890539,18,NO
19900126,18,NO
19900338,18,NO
19900469,18,NO
19901026,18,NO
19910679,18,NO
19911120,18,NO
19930099,18,NO
19930683,18,NO
19930740,18,YES
19931019,18,NO
19931468,18,YES
19940703,18,NO
19942199,18,NO
19942480,18,YES
19942579,18,NO
19960091,18,YES
19961033,18,YES
19961327,18,YES
19962218,18,NO
19962810,18,NO
19981041,18,NO
19981048,18,YES
19981958,18,NO
19982180,18,NO
19982448,18,YES
20000285,18,NO
20000338,18,YES
20000652,18,NO
20000831,18,YES
20001019,18,NO
20001071,18,NO
20021886,18,YES
20040667,18,NO
20041158,18,NO
20041164,18,YES
20041776,18,YES
20041797,18,YES
20042311,18,NO
20042599,18,NO
19730072,19,YES
19730158,19,YES
19730269,19,YES
19730372,19,NO
19730392,19,NO
19730431,19,YES
19730479,19,YES
19730518,19,YES
19730569,19,NO
19730570,19,YES
19730650,19,NO
19730699,19,NO
19730736,19,YES
19730752,19,YES
19730918,19,NO
19730987,19,NO
19731032,19,NO
19731070,19,YES
19731148,19,YES
19731170,19,NO
19731172,19,YES
19731206,19,NO
19731249,19,YES
19731353,19,YES
19731354,19,YES
19731388,19,NO
19731393,19,NO
19731418,19,NO
19731449,19,NO
19750004,19,NO
19750034,19,YES
19750053,19,NO
19750168,19,NO
19750190,19,NO
19750234,19,YES
19750278,19,NO
19750358,19,NO
19750443,19,NO
19750481,19,NO
19750492,19,NO
19750504,19,YES
19750554,19,NO
19750561,19,NO
19750625,19,NO
19750681,19,NO
19751032,19,YES
19751045,19,NO
19751065,19,NO
19751115,19,YES
19751151,19,NO
19751180,19,NO
19751185,19,NO
19751200,19,YES
19751202,19,NO
19751227,19,NO
19751280,19,NO
19751284,19,YES
19751288,19,NO
19751303,19,NO
19751383,19,NO
19751469,19,YES
19751475,19,YES
19751530,19,YES
19751550,19,NO
19751613,19,NO
19751626,19,NO
19751693,19,NO
19760061,19,NO
19760142,19,YES
19760162,19,NO
19760223,19,YES
19760226,19,YES
19760341,19,YES
19760405,19,NO
19760408,19,YES
19760443,19,NO
19760587,19,YES
19760661,19,NO
19760689,19,NO
19760692,19,NO
19761005,19,NO
19761021,19,NO
19761061,19,YES
19761079,19,NO
19761106,19,YES
19761151,19,NO
19761185,19,NO
19761188,19,YES
19761256,19,YES
19761261,19,NO
19761286,19,NO
19761321,19,YES
19761324,19,NO
19761326,19,YES
19761340,19,NO
19761365,19,NO
19761381,19,YES
19761511,19,NO
19761611,19,YES
19761646,19,YES
19761740,19,NO
19780006,19,NO
19780007,19,NO
19780029,19,YES
19780118,19,NO
19780159,19,NO
19780165,19,NO
19780191,19,NO
19780277,19,NO
19780357,19,YES
19780358,19,NO
19780393,19,NO
19780559,19,NO
19780562,19,NO
19780678,19,YES
19780885,19,NO
19780911,19,NO
19780918,19,NO
19780938,19,NO
19780967,19,NO
19781076,19,NO
19781192,19,NO
19781351,19,NO
19781361,19,YES
19781396,19,YES
19781443,19,YES
19800091,19,YES
19800110,19,NO
19800169,19,YES
19800197,19,NO
19800235,19,YES
19800240,19,NO
19800248,19,YES
19800251,19,NO
19800295,19,YES
19800322,19,YES
19800352,19,NO
19800368,19,NO
19800516,19,NO
19800671,19,NO
19800717,19,YES
19800738,19,NO
19800751,19,NO
19800829,19,NO
19800846,19,NO
19800872,19,NO
19800898,19,YES
19800899,19,NO
19800931,19,NO
19801122,19,NO
19801193,19,NO
19801200,19,NO
19801410,19,NO
19801436,19,NO
19830241,19,YES
19830291,19,NO
19830379,19,NO
19830454,19,NO
19830458,19,YES
19830755,19,NO
19830836,19,NO
19830911,19,NO
19830948,19,NO
19830955,19,NO
19830973,19,NO
19830981,19,YES
19831106,19,YES
19831198,19,NO
19831232,19,YES
19831237,19,YES
19831258,19,NO
19831353,19,NO
19831379,19,NO
19831396,19,NO
19831433,19,YES
19831521,19,NO
19831597,19,NO
19840008,19,YES
19840013,19,YES
19840020,19,YES
19840022,19,NO
19840216,19,YES
19840234,19,YES
19840306,19,YES
19840367,19,NO
19840399,19,NO
19840477,19,YES
19840481,19,NO
19840528,19,NO
19840556,19,NO
19840701,19,NO
19840782,19,YES
19840988,19,NO
19841133,19,YES
19841190,19,NO
19841259,19,YES
19841452,19,NO
19860007,19,NO
19860046,19,NO
19860152,19,YES
19860218,19,NO
19860380,19,NO
19860514,19,NO
19860581,19,NO
19860669,19,NO
19860703,19,NO
19860784,19,YES
19860826,19,NO
19860919,19,NO
19860925,19,YES
19861020,19,YES
19861046,19,NO
19861087,19,YES
19861153,19,YES
19861282,19,YES
19870148,19,YES
19870448,19,NO
19870459,19,YES
19870564,19,YES
19870673,19,NO
19870697,19,NO
19870928,19,NO
19870937,19,YES
19870969,19,YES
19871019,19,NO
19871043,19,NO
19871047,19,NO
19871057,19,NO
19871130,19,NO
19871188,19,YES
19871202,19,NO
19871205,19,NO
19871223,19,NO
19871382,19,YES
19871385,19,NO
19871398,19,NO
19871402,19,NO
19871455,19,NO
19872046,19,YES
19872091,19,YES
19872113,19,NO
19872213,19,NO
19872258,19,YES
19872259,19,NO
19872289,19,YES
19880015,19,YES
19880115,19,YES
19880157,19,NO
19880182,19,NO
19880266,19,YES
19880360,19,YES
19880540,19,NO
19880579,19,YES
19880610,19,NO
19880899,19,NO
19881184,19,YES
19881275,19,YES
19890008,19,NO
19890089,19,YES
19890138,19,NO
19890321,19,NO
19890380,19,YES
19890386,19,NO
19890472,19,YES
19890552,19,NO
19890806,19,NO
19890853,19,NO
19890868,19,NO
19890874,19,NO
19890892,19,NO
19890953,19,YES
19891082,19,NO
19891131,19,YES
19891460,19,YES
19900032,19,NO
19900080,19,YES
19900476,19,NO
19900717,19,YES
19901030,19,YES
19901135,19,NO
19901300,19,YES
19910335,19,YES
19910475,19,YES
19910482,19,YES
19910498,19,YES
19910775,19,NO
19911053,19,YES
19930323,19,NO
19930327,19,NO
19930384,19,YES
19930387,19,YES
19930858,19,NO
19931190,19,NO
19931428,19,NO
19931470,19,NO
19931472,19,NO
19931489,19,NO
19931576,19,YES
19931589,19,NO
19940302,19,NO
19940481,19,NO
19940567,19,NO
19940599,19,NO
19940841,19,NO
19941092,19,YES
19941208,19,NO
19941312,19,NO
19941637,19,NO
19941825,19,NO
19941880,19,YES
19941931,19,NO
19942738,19,NO
19960079,19,YES
19960099,19,YES
19960145,19,NO
19960428,19,NO
19960587,19,YES
19960677,19,YES
19960767,19,NO
19960826,19,YES
19960913,19,NO
19960916,19,NO
19960957,19,NO
19961065,19,YES
19961800,19,YES
19961918,19,YES
19961968,19,NO
19962159,19,NO
19962162,19,YES
19962195,19,NO
19962350,19,NO
19962594,19,YES
19962629,19,NO
19962713,19,YES
19962794,19,NO
19980044,19,NO
19980222,19,NO
19980269,19,NO
19980451,19,YES
19980562,19,YES
19980640,19,NO
19980871,19,YES
19980876,19,YES
19980891,19,NO
19980921,19,NO
19980938,19,NO
19981013,19,NO
19981030,19,NO
19981083,19,YES
19981226,19,NO
19981240,19,YES
19981396,19,NO
19981552,19,YES
19981657,19,NO
19981659,19,NO
19981743,19,NO
19981758,19,YES
19981803,19,YES
19981818,19,YES
19981824,19,YES
19981872,19,NO
19981943,19,YES
19981975,19,NO
19981983,19,NO
19982543,19,YES
19982759,19,YES
20000167,19,YES
20000268,19,YES
20000357,19,YES
20000484,19,NO
20000560,19,YES
20000585,19,YES
20000681,19,NO
20000916,19,NO
20001055,19,YES
20001119,19,NO
20001134,19,NO
20001276,19,NO
20001303,19,NO
20001452,19,NO
20001459,19,NO
20001476,19,YES
20001484,19,YES
20001624,19,YES
20001667,19,YES
20001769,19,NO
20001913,19,YES
20001914,19,YES
20002001,19,YES
20002127,19,NO
20002132,19,YES
20002227,19,YES
20002515,19,YES
20002560,19,YES
20002654,19,NO
20002698,19,YES
20002703,19,YES
20002722,19,NO
20020129,19,NO
20020329,19,YES
20020887,19,YES
20021927,19,YES
20022160,19,NO
20040009,19,NO
20040025,19,YES
20040332,19,YES
20040518,19,YES
20040527,19,YES
20041346,19,NO
20041454,19,NO
20041690,19,YES
20041779,19,NO
20042643,19,NO
20042651,19,YES
19730030,20,YES
19730041,20,NO
19730081,20,NO
19730091,20,YES
19730112,20,YES
19730149,20,YES
19730240,20,YES
19730254,20,NO
19730272,20,NO
19730299,20,NO
19730363,20,YES
19730374,20,NO
19730488,20,NO
19730562,20,NO
19730573,20,YES
19730611,20,YES
19730662,20,NO
19730733,20,YES
19730954,20,YES
19731012,20,NO
19731169,20,NO
19731179,20,YES
19731224,20,YES
19731296,20,YES
19731351,20,NO
19731379,20,YES
19731436,20,YES
19731475,20,YES
19731494,20,YES
19750002,20,NO
19750102,20,NO
19750173,20,NO
19750174,20,NO
19750175,20,NO
19750179,20,YES
19750216,20,YES
19750366,20,NO
19750391,20,YES
19750428,20,NO
19750454,20,NO
19750476,20,YES
19750484,20,NO
19750498,20,NO
19750530,20,YES
19750660,20,YES
